country,age,new_user,source,total_pages_visited,converted
UK,28,No,Seo,16,1
UK,22,Yes,Direct,5,0
China,32,Yes,Seo,1,0
US,32,Yes,Ads,6,0
China,25,No,Seo,3,0
US,18,Yes,Seo,1,0
China,43,No,Ads,7,0
UK,17,No,Seo,1,0
UK,44,Yes,Direct,6,0
US,41,Yes,Seo,5,0
US,28,Yes,Seo,2,0
US,31,Yes,Seo,3,0
US,32,Yes,Seo,4,0
UK,20,Yes,Seo,1,0
US,27,No,Direct,3,0
US,27,No,Ads,5,0
US,21,No,Seo,5,0
US,28,Yes,Seo,6,0
US,31,Yes,Seo,6,0
Germany,29,Yes,Seo,7,0
US,42,No,Direct,5,0
US,32,Yes,Seo,6,0
US,19,No,Direct,14,1
US,25,Yes,Ads,9,0
US,20,No,Seo,7,0
US,21,No,Seo,4,0
US,45,Yes,Seo,1,0
UK,26,Yes,Seo,3,0
US,26,Yes,Ads,5,0
China,45,No,Ads,4,0
US,30,Yes,Direct,3,0
China,22,Yes,Direct,7,0
UK,18,Yes,Seo,7,0
UK,25,Yes,Direct,2,0
US,27,Yes,Seo,3,0
China,32,No,Direct,2,0
China,33,Yes,Seo,10,0
US,19,Yes,Seo,5,0
Germany,26,Yes,Seo,2,0
China,36,No,Direct,1,0
US,34,Yes,Seo,4,0
US,17,No,Seo,17,1
US,26,No,Direct,2,0
US,43,Yes,Ads,16,0
US,24,No,Seo,1,0
US,27,Yes,Ads,6,0
US,21,Yes,Seo,5,0
Germany,30,Yes,Seo,3,0
US,34,No,Ads,5,0
US,41,Yes,Ads,5,0
US,26,No,Seo,4,0
US,35,Yes,Ads,1,0
Germany,17,Yes,Seo,12,0
US,18,Yes,Seo,4,0
US,26,No,Seo,10,0
US,23,Yes,Seo,3,0
US,36,Yes,Seo,8,0
US,43,No,Seo,5,0
UK,41,Yes,Seo,6,0
US,22,Yes,Ads,9,0
US,42,Yes,Seo,1,0
US,26,Yes,Direct,2,0
Germany,23,Yes,Ads,6,0
China,29,No,Seo,2,0
UK,33,Yes,Ads,4,0
China,33,No,Seo,2,0
China,48,Yes,Seo,5,0
US,26,Yes,Seo,8,0
US,38,No,Direct,11,0
US,29,Yes,Ads,1,0
US,21,No,Seo,4,0
UK,28,No,Seo,2,0
US,28,Yes,Seo,10,0
China,30,No,Seo,4,0
China,31,No,Direct,3,0
US,41,Yes,Ads,4,0
China,32,Yes,Direct,7,0
China,42,Yes,Seo,4,0
US,23,Yes,Ads,5,0
US,29,Yes,Seo,1,0
US,39,Yes,Direct,5,0
US,33,Yes,Seo,2,0
US,23,Yes,Seo,5,0
UK,29,No,Seo,3,0
US,32,Yes,Seo,1,0
US,33,No,Seo,3,0
US,37,Yes,Seo,2,0
US,19,Yes,Direct,4,0
US,25,No,Ads,1,0
US,23,No,Seo,7,0
US,31,Yes,Ads,2,0
China,29,Yes,Seo,13,0
China,42,Yes,Direct,4,0
UK,35,Yes,Ads,1,0
US,34,Yes,Seo,2,0
China,36,Yes,Seo,1,0
US,42,Yes,Ads,4,0
US,28,Yes,Seo,2,0
China,25,Yes,Ads,3,0
US,34,No,Direct,10,0
US,26,Yes,Direct,11,0
UK,21,No,Ads,8,0
US,32,Yes,Ads,2,0
US,29,Yes,Ads,2,0
US,49,Yes,Direct,6,0
US,39,Yes,Seo,6,0
UK,31,Yes,Seo,4,0
Germany,36,Yes,Direct,3,0
UK,22,Yes,Seo,12,0
US,47,Yes,Ads,4,0
US,30,No,Ads,4,0
US,45,No,Direct,3,0
US,29,No,Seo,4,0
US,20,No,Direct,2,0
Germany,33,Yes,Seo,1,0
US,37,No,Ads,3,0
US,29,Yes,Seo,3,0
US,30,No,Seo,3,0
US,38,No,Seo,8,0
China,41,Yes,Ads,12,0
US,42,Yes,Direct,10,0
China,34,No,Direct,5,0
China,33,No,Seo,7,0
UK,44,Yes,Ads,11,0
China,35,Yes,Ads,11,0
